Airline,Departure_Time,Arrival_Time,Duration,Departure,Destination,Date,Total_Stops,SClass,Price
VietJet Air,20:10,22:00,110,SGN,VII,17-04-2025,0,ECONOMY,946900
Vietnam Airlines,16:20,22:50,390,PQC,DAD,20-04-2025,1,BUSINESS,8438000
Vietnam Airlines,09:00,15:00,360,CXR,TBB,16-04-2025,1,ECONOMY,2457000
Vietnam Airlines,14:15,15:45,90,VCL,SGN,18-04-2025,0,BUSINESS,4634000
Vietnam Airlines,14:15,22:15,480,VCL,HAN,16-04-2025,1,BUSINESS,11828000
Vietnam Airlines,15:30,17:10,100,CXR,VII,21-04-2025,0,ECONOMY,2135000
Vietnam Airlines,09:45,19:10,565,CXR,VDH,20-04-2025,1,ECONOMY,4906000
Bamboo Airways,10:00,16:55,415,VKG,SGN,15-04-2025,1,ECONOMY,4467000
VietJet Air,10:10,12:20,130,SGN,HAN,20-04-2025,0,PREMIUM_ECONOMY,4697000
VietJet Air,06:10,08:20,130,HAN,VCA,20-04-2025,0,ECONOMY,1496900
Bamboo Airways,10:15,16:20,365,DLI,PXU,16-04-2025,1,ECONOMY,3599000
VietJet Air,17:45,19:10,85,HUI,SGN,16-04-2025,0,PREMIUM_ECONOMY,3169800
Vietnam Airlines,10:05,20:35,630,VDH,HPH,21-04-2025,1,ECONOMY,3855000
Bamboo Airways,10:25,15:55,330,UIH,PQC,20-04-2025,1,ECONOMY,2255000
Bamboo Airways,08:40,10:20,100,DAD,PQC,19-04-2025,0,PREMIUM_ECONOMY,2409000
Vietnam Airlines,16:20,22:10,350,PQC,DAD,20-04-2025,1,ECONOMY,2197000
Vietnam Airlines,13:20,14:50,90,VCA,DAD,16-04-2025,0,BUSINESS,2784000
Vietnam Airlines,15:00,17:15,135,HAN,SGN,17-04-2025,0,BUSINESS,8974000
Vietnam Airlines,10:10,23:05,775,VCA,SGN,17-04-2025,2,ECONOMY,5508000
VietJet Air,05:10,07:20,130,HAN,SGN,17-04-2025,0,ECONOMY,1332000
Bamboo Airways,10:25,16:20,355,VCS,PXU,15-04-2025,1,ECONOMY,5894000
Vietnam Airlines,06:00,16:55,655,DAD,VDH,19-04-2025,1,ECONOMY,2448000
Vietravel Airlines,17:05,18:00,55,SGN,PQC,21-04-2025,0,ECONOMY,666800
Vietnam Airlines,15:10,16:35,85,HAN,DAD,21-04-2025,0,ECONOMY,1670000
Vietnam Airlines,08:00,14:40,400,DLI,THD,20-04-2025,1,BUSINESS,8203000
Bamboo Airways,19:50,23:55,245,HAN,SGN,17-04-2025,1,BUSINESS,4730000
Vietnam Airlines,10:05,18:20,495,VDH,VCL,15-04-2025,1,ECONOMY,3630000
Vietnam Airlines,06:25,20:50,865,HPH,VDO,21-04-2025,1,ECONOMY,3731000
Bamboo Airways,10:15,12:05,110,DLI,HAN,15-04-2025,0,ECONOMY,1579000
VietJet Air,16:00,17:45,105,HPH,CXR,15-04-2025,0,ECONOMY,1461900
Vietnam Airlines,16:30,22:10,340,VII,CXR,19-04-2025,1,ECONOMY,2280000
Bamboo Airways,18:15,20:25,130,HAN,PQC,16-04-2025,0,ECONOMY,1158000
Vietnam Airlines,11:15,13:30,135,HPH,SGN,18-04-2025,0,ECONOMY,1490000
VietJet Air,15:30,16:40,70,PQC,SGN,17-04-2025,0,PREMIUM_ECONOMY,3027000
Vietnam Airlines,09:15,16:00,405,VII,DLI,18-04-2025,1,BUSINESS,8183000
VietJet Air,11:10,12:35,85,SGN,HUI,16-04-2025,0,PREMIUM_ECONOMY,3199800
VietJet Air,10:40,11:45,65,CXR,DAD,19-04-2025,0,PREMIUM_ECONOMY,3169800
Vietnam Airlines,06:25,19:50,805,HPH,DLI,16-04-2025,1,ECONOMY,1907000
Vietnam Airlines,09:45,11:45,120,CXR,HAN,20-04-2025,0,BUSINESS,7329000
Vietnam Airlines,05:00,11:20,380,HAN,PQC,16-04-2025,1,BUSINESS,11738000
Vietnam Airlines,18:45,21:00,135,HAN,SGN,17-04-2025,0,ECONOMY,1556000
Vietnam Airlines,13:50,20:15,385,DLI,DAD,16-04-2025,1,ECONOMY,4654000
Vietnam Airlines,10:55,13:05,130,SGN,HPH,17-04-2025,0,BUSINESS,4354000
VietJet Air,19:45,21:35,110,DLI,HAN,19-04-2025,0,ECONOMY,1322000
Vietnam Airlines,11:15,20:50,575,HPH,VDO,19-04-2025,1,ECONOMY,2345000
VietJet Air,07:05,09:20,135,SGN,VDO,17-04-2025,0,PREMIUM_ECONOMY,4819800
VietJet Air,14:50,16:10,80,SGN,VCL,17-04-2025,0,PREMIUM_ECONOMY,3199800
Vietnam Airlines,07:55,15:50,475,DAD,VII,21-04-2025,1,BUSINESS,7883000
VietJet Air,06:00,07:50,110,VII,SGN,17-04-2025,0,PREMIUM_ECONOMY,4687000
Bamboo Airways,19:00,20:05,65,VDH,HAN,15-04-2025,0,ECONOMY,1820000
Vietnam Airlines,10:05,15:00,295,VDH,TBB,16-04-2025,1,ECONOMY,2809000
Vietnam Airlines,08:00,19:10,670,DLI,VDH,15-04-2025,2,ECONOMY,5857000
Vietnam Airlines,16:20,17:40,80,PQC,SGN,18-04-2025,0,BUSINESS,3349000
Vietnam Airlines,13:35,15:10,95,DAD,HAN,21-04-2025,0,ECONOMY,2526000
VietJet Air,09:35,10:55,80,SGN,DAD,16-04-2025,0,PREMIUM_ECONOMY,3199800
Vietnam Airlines,10:45,14:55,250,DAD,DLI,15-04-2025,1,ECONOMY,4327000
Vietnam Airlines,17:30,18:55,85,PXU,SGN,15-04-2025,0,ECONOMY,1946000
Bamboo Airways,11:20,20:25,545,UIH,PQC,17-04-2025,1,ECONOMY,3719000
Vietnam Airlines,16:30,22:50,380,VII,DAD,20-04-2025,1,ECONOMY,2571000
VietJet Air,18:05,19:30,85,DAD,SGN,18-04-2025,0,ECONOMY,946900
Vietnam Airlines,08:40,10:25,105,PXU,HAN,21-04-2025,0,ECONOMY,1728000
Vietnam Airlines,14:35,19:45,310,CAH,DLI,16-04-2025,1,ECONOMY,2030000
Bamboo Airways,10:00,23:30,810,VKG,SGN,17-04-2025,1,ECONOMY,3372000
Vietnam Airlines,16:00,18:15,135,HAN,SGN,19-04-2025,0,ECONOMY,2374000
VietJet Air,20:00,21:20,80,VCL,SGN,21-04-2025,0,ECONOMY,1376900
Bamboo Airways,20:55,22:40,105,VDH,SGN,16-04-2025,0,PREMIUM_ECONOMY,2884000
Vietnam Airlines,08:05,10:15,130,SGN,HPH,16-04-2025,0,ECONOMY,1301000
Vietnam Airlines,09:30,17:50,500,UIH,DLI,21-04-2025,1,ECONOMY,3114000
VietJet Air,15:10,16:35,85,HUI,SGN,21-04-2025,0,ECONOMY,1318900
Vietnam Airlines,06:50,19:10,740,DAD,VDH,17-04-2025,1,ECONOMY,2103000
VietJet Air,17:10,19:10,120,SGN,THD,21-04-2025,0,ECONOMY,1047000
Bamboo Airways,19:00,20:05,65,VDH,HAN,19-04-2025,0,ECONOMY,1740000
VietJet Air,09:40,10:45,65,CXR,PQC,21-04-2025,0,ECONOMY,697000
Vietnam Airlines,09:00,12:55,235,VII,DAD,16-04-2025,1,ECONOMY,3477000
VietJet Air,06:10,08:10,120,SGN,THD,20-04-2025,0,ECONOMY,1461900
Vietnam Airlines,13:30,15:35,125,VII,SGN,17-04-2025,0,ECONOMY,1505000
Vietnam Airlines,17:30,18:55,85,PXU,SGN,19-04-2025,0,ECONOMY,1956000
Vietnam Airlines,16:15,17:55,100,DLI,HAN,18-04-2025,0,ECONOMY,1024000
Vietnam Airlines,07:00,13:25,385,HAN,BMV,21-04-2025,1,BUSINESS,8543000
Vietnam Airlines,11:05,17:00,355,UIH,CXR,19-04-2025,1,ECONOMY,2194000
VietJet Air,18:05,19:30,85,DAD,SGN,15-04-2025,0,PREMIUM_ECONOMY,3214800
Vietnam Airlines,06:25,20:15,830,HPH,HUI,20-04-2025,1,ECONOMY,2576000
Vietnam Airlines,16:15,18:10,115,SGN,VII,15-04-2025,0,ECONOMY,1935000
VietJet Air,14:35,16:25,110,CXR,HAN,16-04-2025,0,PREMIUM_ECONOMY,4687000
Vietnam Airlines,13:20,20:50,450,PQC,VDO,19-04-2025,1,ECONOMY,1931000
Vietnam Airlines,16:20,17:40,80,PQC,SGN,18-04-2025,0,ECONOMY,1241000
Bamboo Airways,22:25,23:55,90,DAD,SGN,20-04-2025,0,BUSINESS,2390000
Vietnam Airlines,13:25,19:00,335,CXR,HPH,16-04-2025,1,ECONOMY,2126000
VietJet Air,08:20,09:40,80,DAD,HAN,18-04-2025,0,ECONOMY,1902900
Vietnam Airlines,09:50,17:15,445,PXU,HAN,17-04-2025,1,ECONOMY,2986000
Bamboo Airways,10:25,19:10,525,UIH,PXU,20-04-2025,1,ECONOMY,2082000
Vietnam Airlines,06:50,20:20,810,VCS,THD,20-04-2025,1,ECONOMY,2807000
Vietnam Airlines,10:05,17:30,445,PQC,DAD,20-04-2025,1,BUSINESS,7543000
Vietnam Airlines,06:25,19:10,765,HPH,VDH,18-04-2025,2,ECONOMY,6703000
Vietnam Airlines,11:15,16:40,325,HPH,DAD,17-04-2025,1,ECONOMY,4396000
Vietnam Airlines,13:30,21:20,470,VII,DAD,18-04-2025,1,ECONOMY,2566000
Vietnam Airlines,08:40,14:35,355,PQC,HUI,15-04-2025,1,ECONOMY,2506000
VietJet Air,14:10,15:35,85,VII,BMV,16-04-2025,0,ECONOMY,926900
VietJet Air,17:15,19:10,115,HAN,DLI,20-04-2025,0,ECONOMY,1091900
Vietnam Airlines,12:20,18:10,350,BMV,VII,17-04-2025,1,ECONOMY,2166000
Vietnam Airlines,15:25,21:15,350,THD,DAD,18-04-2025,1,ECONOMY,2234000
Vietnam Airlines,14:05,15:25,80,SGN,UIH,20-04-2025,0,BUSINESS,4689000
Vietnam Airlines,15:30,16:25,55,DLI,SGN,20-04-2025,0,ECONOMY,1488000
Vietnam Airlines,06:25,19:10,765,HPH,VDH,19-04-2025,2,ECONOMY,6718000
Vietnam Airlines,13:50,16:05,135,DLI,HAN,19-04-2025,0,BUSINESS,4654000
Vietnam Airlines,07:55,18:30,635,DAD,UIH,19-04-2025,1,ECONOMY,2195000
VietJet Air,08:40,09:45,65,UIH,SGN,18-04-2025,0,PREMIUM_ECONOMY,3179800
Bamboo Airways,12:40,13:35,55,SGN,VCS,21-04-2025,0,PREMIUM_ECONOMY,2243000
Vietnam Airlines,14:15,22:10,475,HPH,DAD,16-04-2025,1,BUSINESS,7853000
Vietnam Airlines,09:00,14:55,355,SGN,VCL,16-04-2025,1,BUSINESS,10948000
Vietnam Airlines,06:35,17:15,640,VKG,HAN,18-04-2025,1,ECONOMY,3149000
Vietnam Airlines,08:15,17:55,580,DAD,VII,20-04-2025,1,ECONOMY,2649000
Vietnam Airlines,06:25,15:40,555,HPH,PQC,19-04-2025,1,ECONOMY,4132000
VietJet Air,20:10,22:20,130,SGN,HAN,20-04-2025,0,ECONOMY,1441900
Vietnam Airlines,10:15,17:55,460,PQC,VII,16-04-2025,1,ECONOMY,4522000
Bamboo Airways,10:45,12:55,130,HAN,SGN,19-04-2025,0,BUSINESS,6091000
Vietnam Airlines,10:40,17:55,435,CXR,VII,17-04-2025,1,ECONOMY,3978000
Bamboo Airways,07:55,08:45,50,VCS,SGN,19-04-2025,0,ECONOMY,938000
Vietnam Airlines,13:25,14:35,70,CXR,SGN,18-04-2025,0,BUSINESS,3694000
